Date/Time;Symbol;Side;Type;Price;Stop price;Quantity;Event;Symb. type;Trading exchange;
4/29/2026 2:26:27 AM;AMD;Sell;Take profit;330.29;;15;Cancelled;Equities;US;
4/29/2026 2:26:27 AM;AMD;Sell;Stop loss;;323.80;15;Filled;Equities;US;
4/29/2026 2:19:06 AM;AMD;Sell;Stop loss;;323.84;15;Modified;Equities;US;
4/29/2026 2:18:59 AM;AMD;Sell;Stop loss;;323.92;15;Modified;Equities;US;
4/29/2026 2:18:53 AM;AMD;Sell;Stop loss;;323.97;15;Modified;Equities;US;
4/29/2026 2:18:35 AM;AMD;Sell;Stop loss;;324.37;15;Modified;Equities;US;
4/29/2026 2:18:20 AM;AMD;Sell;Stop loss;;323.70;15;Modified;Equities;US;
4/29/2026 2:18:20 AM;AMD;Sell;Take profit;330.29;;15;Modified;Equities;US;
4/29/2026 2:18:20 AM;AMD;Sell;Limit;327.06;;15;Filled;Equities;US;
4/29/2026 2:17:32 AM;AMD;Sell;Limit;326.97;;15;Created;Equities;US;
4/29/2026 2:14:45 AM;AMD;Sell;Limit;326.91;;15;Cancelled;Equities;US;
4/29/2026 2:13:52 AM;AMD;Sell;Limit;326.91;;15;Created;Equities;US;
4/29/2026 2:13:14 AM;AMD;Sell;Take profit;330.29;;30;Modified;Equities;US;
4/29/2026 2:13:11 AM;AMD;Sell;Take profit;327.14;;30;Modified;Equities;US;
4/29/2026 2:12:13 AM;AMD;Sell;Stop loss;;323.70;30;Created;Equities;US;
4/29/2026 2:11:34 AM;AMD;Sell;Take profit;330.10;;30;Modified;Equities;US;
4/29/2026 2:11:34 AM;AMD;Sell;Limit;325.48;;120;Filled;Equities;US;
4/29/2026 2:09:06 AM;AMD;Sell;Limit;325.48;;120;Created;Equities;US;
4/29/2026 2:06:15 AM;AMD;Sell;Stop loss;;319.79;150;Cancelled;Equities;US;
4/29/2026 2:06:13 AM;AMD;Sell;Stop loss;;319.79;150;Modified;Equities;US;
4/29/2026 2:06:10 AM;AMD;Sell;Stop loss;;320.06;150;Created;Equities;US;
4/29/2026 2:01:32 AM;AMD;Sell;Take profit;330.10;;150;Modified;Equities;US;
4/29/2026 2:01:30 AM;AMD;Sell;Take profit;325.62;;150;Created;Equities;US;
4/29/2026 1:59:38 AM;AMD;Sell;Take profit;325.61;;150;Cancelled;Equities;US;
4/29/2026 1:59:37 AM;AMD;Sell;Take profit;325.61;;150;Created;Equities;US;
4/29/2026 1:59:30 AM;AMD;Sell;Stop loss;;320.05;150;Cancelled;Equities;US;
4/29/2026 1:59:29 AM;AMD;Sell;Stop loss;;320.05;150;Created;Equities;US;
4/29/2026 1:58:46 AM;AMD;Buy;Market;323.55;;150;Filled;Equities;US;
4/29/2026 1:55:14 AM;NVDA;Sell;Take profit;213.66;;200;Cancelled;Equities;US;
4/29/2026 1:55:14 AM;NVDA;Sell;Market;211.41;;200;Filled;Equities;US;
4/29/2026 1:53:18 AM;NVDA;Sell;Stop loss;;211.49;200;Cancelled;Equities;US;
4/29/2026 1:53:17 AM;NVDA;Sell;Stop loss;;211.49;200;Created;Equities;US;
4/29/2026 1:52:03 AM;NVDA;Sell;Stop loss;;211.28;200;Cancelled;Equities;US;
4/29/2026 1:52:02 AM;NVDA;Sell;Stop loss;;211.28;200;Created;Equities;US;
4/29/2026 1:49:53 AM;NVDA;Sell;Limit;212.62;;160;Cancelled;Equities;US;
4/29/2026 1:49:29 AM;NVDA;Sell;Limit;212.62;;160;Modified;Equities;US;
4/29/2026 1:49:25 AM;NVDA;Sell;Limit;212.65;;160;Created;Equities;US;
4/29/2026 1:48:59 AM;NVDA;Sell;Stop loss;;211.15;200;Cancelled;Equities;US;
4/29/2026 1:48:59 AM;NVDA;Sell;Take profit;213.66;;200;Created;Equities;US;
4/29/2026 1:48:55 AM;NVDA;Sell;Stop loss;;211.15;200;Created;Equities;US;
4/29/2026 1:48:44 AM;NVDA;Buy;Market;211.96;;200;Filled;Equities;US;
4/28/2026 2:15:18 AM;SNDK;Sell;Take profit;1,057.85;;5;Cancelled;Equities;US;
4/28/2026 2:15:18 AM;SNDK;Sell;Stop loss;;1,043.20;5;Filled;Equities;US;
4/28/2026 2:15:15 AM;SNDK;Sell;Stop loss;;1,043.52;5;Created;Equities;US;
4/28/2026 2:15:07 AM;SNDK;Sell;Take profit;1,057.85;;5;Created;Equities;US;
4/28/2026 2:14:25 AM;SNDK;Sell;Limit;1,045.62;;30;Filled;Equities;US;
4/28/2026 2:14:15 AM;SNDK;Sell;Limit;1,046.96;;30;Modified;Equities;US;
4/28/2026 2:14:06 AM;SNDK;Sell;Limit;1,047.25;;30;Modified;Equities;US;
4/28/2026 2:13:35 AM;SNDK;Sell;Limit;1,047.17;;30;Modified;Equities;US;
4/28/2026 2:13:26 AM;SNDK;Sell;Limit;1,060.87;;30;Modified;Equities;US;
4/28/2026 2:13:21 AM;SNDK;Sell;Stop loss;;1,033.58;35;Cancelled;Equities;US;
4/28/2026 2:13:20 AM;SNDK;Sell;Stop loss;;1,033.58;35;Created;Equities;US;
4/28/2026 2:12:40 AM;SNDK;Sell;Limit;1,047.28;;30;Created;Equities;US;
4/28/2026 2:12:28 AM;SNDK;Buy;Market;1,044.80;;35;Filled;Equities;US;
4/28/2026 2:08:43 AM;SNDK;Buy;Stop loss;;1,055.64;5;Cancelled;Equities;US;
4/28/2026 2:08:43 AM;SNDK;Buy;Market;1,045.45;;5;Filled;Equities;US;
4/28/2026 2:08:20 AM;SNDK;Buy;Stop loss;;1,055.64;5;Modified;Equities;US;
4/28/2026 2:08:18 AM;SNDK;Buy;Stop loss;;1,049.52;5;Created;Equities;US;
4/28/2026 2:07:57 AM;SNDK;Sell;Limit;1,043.01;;35;Filled;Equities;US;
4/28/2026 2:06:52 AM;SNDK;Sell;Limit;1,042.73;;35;Created;Equities;US;
4/28/2026 2:06:23 AM;SNDK;Sell;Take profit;1,049.67;;30;Cancelled;Equities;US;
